Category,Sub-Category,Item,Description,Technical Details,Input,Output,Dependencies,File/Location,Status
File Inventory,Root Files,input.csv,"Prompt history log",49 lines | 5397 bytes | Timestamped user prompts,N/A,N/A,N/A,"d:\responsible AI newww\input.csv",Active
File Inventory,Frontend Files,index.html,"Main HTML page",121 lines | 4504 bytes | Single-page app structure,N/A,N/A,N/A,"d:\responsible AI newww\frontend\index.html",Active
File Inventory,Frontend Files,app.js,"Client-side JavaScript",340 lines | 10462 bytes | API calls/polling/UI logic,N/A,N/A,N/A,"d:\responsible AI newww\frontend\app.js",Active
File Inventory,Frontend Files,style.css,"Stylesheet",237 lines | 7577 bytes | Dark mode Cursor-inspired design,N/A,N/A,N/A,"d:\responsible AI newww\frontend\style.css",Active
File Inventory,Generated Agent Files,agent.py (generated),"Sample generated agent code",85 lines | 2944 bytes | LangGraphAgent class for CSV→JSON extraction,N/A,N/A,N/A,"d:\responsible AI newww\generated_agent\agent.py",Generated
File Inventory,Generated Agent Files,main.py (generated),"Sample generated entry point",27 lines | 625 bytes | Async main loop with agent initialization,N/A,N/A,N/A,"d:\responsible AI newww\generated_agent\main.py",Generated
File Inventory,Generated Agent Files,README.md (generated),"Sample generated documentation",47 lines | 2439 bytes | langgraph agent documentation,N/A,N/A,N/A,"d:\responsible AI newww\generated_agent\README.md",Generated
Total Metrics,Codebase Statistics,Total Backend Lines,"~2363 lines of Python","main.py(572) + perspective_agent(352) + inputextractor(344) + agentbuild(649) + verifier(143) + code_interface(274) + groq_utils(103) + server(406) = ~2843 lines total backend",N/A,N/A,N/A,N/A,Active
Total Metrics,Codebase Statistics,Total Frontend Lines,"~698 lines","index.html(121) + app.js(340) + style.css(237) = 698 lines",N/A,N/A,N/A,N/A,Active
Total Metrics,Codebase Statistics,Total Project Files,"15 source files + generated output","11 core source files + 4 generated agent files",N/A,N/A,N/A,N/A,Active
Total Metrics,Codebase Statistics,LLM Calls Per Pipeline Run,"~10-12 Groq API calls","Step 1: 1-2 calls | Step 2: 4 calls | Step 3: 4 calls | Step 4: 1 call | Step 5: 5 calls",N/A,N/A,Groq API,N/A,Active
